nbchar,zcode,item type,text,codable,emitter,status,modification date,indent level,lateralite,clean_text,translation_raw
1,C0,T,Massnahmen und Interventionen nicht anderswo Klassifizierbar (00),non,,0,,1,,Massnahmen und Interventionen nicht anderswo Klassifizierbar ,"Measures and Interventions Not Otherwise Classified|This category encompasses medical procedures or interventions that do not fit into more specific diagnostic or treatment categories. It serves as a general placeholder for less common or unique actions taken during patient care.  


"
2,Z00,T,Massnahmen und Interventionen nicht anderswo klassifizierbar,non,,0,,2,,Massnahmen und Interventionen nicht anderswo klassifizierbar,"Measures and Interventions Not Otherwise Classified|This refers to medical procedures or treatments that do not fall under any specific category or classification system used in medical coding or documentation.  


"
3,Z00.0,T,Therapeutischer Ultraschall,non,,0,,3,,Therapeutischer Ultraschall,"Therapeutic Ultrasound|The application of ultrasound waves to treat medical conditions. Therapeutic ultrasound uses high-frequency sound waves to generate heat within tissues, promoting healing and reducing inflammation. It is commonly used in physical therapy to manage pain, reduce swelling, and improve tissue mobility. 


"
3,Z00.0,X,Diagnostischer Ultraschall (nicht-invasiv) (88.7-),non,,0,,3,,Diagnostischer Ultraschall  ,"Diagnostic Ultrasound|A medical imaging technique that uses high-frequency sound waves to create images of internal body structures. It is a non-invasive procedure that can be used to diagnose a variety of conditions. 


"
3,Z00.0,X,Intrakardiale Echokardiographie [IKE] (37.28),non,,0,,3,,Intrakardiale Echokardiographie [IKE] ,"Transthoracic echocardiography (TTE)| A non-invasive diagnostic procedure that uses high-frequency sound waves to create images of the heart's structure and function.  It is performed by placing a transducer on the chest wall, which emits sound waves that reflect back from the heart structures. The reflected waves are then processed by a computer to produce real-time moving images of the heart chambers, valves, and blood flow. 


"
3,Z00.0,X,Intravaskuläre Bildgebung von Blutgefässen (00.21-00.28),non,,0,,3,,Intravaskuläre Bildgebung von Blutgefässen ,"Intravascular Imaging of Blood Vessels|A medical imaging technique that involves visualizing blood vessels from within. This is typically achieved by inserting a catheter with a miniature camera or sensor into the bloodstream, allowing for direct visualization of the vessel walls and lumen (the space inside the vessel).  It's used to diagnose and assess various vascular conditions, such as atherosclerosis, aneurysms, and stenosis. 


"
4,Z00.01,T,Therapeutischer Ultraschall von Blutgefässen an Kopf und Hals,oui,,0,,4,Lateral,Therapeutischer Ultraschall von Blutgefässen an Kopf und Hals,"Therapeutic Ultrasound of Blood Vessels in Head and Neck| Therapeutic ultrasound uses high-frequency sound waves to treat conditions affecting blood vessels in the head and neck region. This non-invasive procedure can be used to improve blood flow, reduce inflammation, and promote healing. 


"
4,Z00.01,B,Anti-Restenose Ultraschall,non,,0,,4,,Anti-Restenose Ultraschall,"Antistent Ultrasound|Ultrasound used to evaluate the placement and function of a stent (a small tube inserted into a blood vessel to keep it open).  


"
4,Z00.01,B,"Intravaskulärer, nicht verödender (nicht abladierender) Ultraschall",non,,0,,4,,"Intravaskulärer, nicht verödender  Ultraschall","Intravascular, Non-Occlusive Ultrasound|A type of ultrasound imaging that uses a probe inserted into a blood vessel to visualize blood flow and the vessel walls. ""Intravascular"" refers to being within a blood vessel, while ""non-occlusive"" means that the probe does not block blood flow. This technique allows for real-time visualization of blood vessels and can be used to diagnose various conditions, such as atherosclerosis, aneurysms, and vascular malformations. 


"
4,Z00.01,X,Diagnostischer Ultraschall des Auges (95.13),non,,0,,4,,Diagnostischer Ultraschall des Auges ,"Diagnostic Ultrasound of the Eye |Ultrasound imaging to diagnose conditions affecting the eye. Also known as ocular ultrasonography, is a non-invasive diagnostic procedure that utilizes high-frequency sound waves to create images of the eye's internal structures. This imaging technique is particularly useful for evaluating the posterior segment of the eye, which includes the vitreous humor, retina, choroid, and optic nerve. 
"
4,Z00.01,X,Diagnostischer Ultraschall des Innenohres (20.79),non,,0,,4,,Diagnostischer Ultraschall des Innenohres ,"Diagnostic Ultrasound of the Inner Ear|Ultrasound imaging to diagnose conditions affecting the inner ear.  Also known as otic ultrasonography, is a non-invasive diagnostic procedure that utilizes high-frequency sound waves to create images of the structures within the inner ear. This imaging technique can help evaluate the cochlea, vestibular system, and other structures involved in hearing and balance. 


"
4,Z00.01,X,Diagnostischer Ultraschall von Kopf und Hals (88.71.-),non,,0,,4,,Diagnostischer Ultraschall von Kopf und Hals ,"Diagnostic Ultrasound of Head and Neck|Ultrasound imaging used to examine the structures in the head and neck region. This non-invasive procedure uses high-frequency sound waves to create images of tissues and organs, helping to diagnose a variety of conditions affecting the area.  


"
4,Z00.01,X,Ultraschall Angioplastie an Nicht-Herzkranzgefäss (39.50),non,,0,,4,,Ultraschall Angioplastie an Nicht-Herzkranzgefäss ,"Ultrasound Angioplasty of Non-Coronary Vessels| A minimally invasive procedure that uses ultrasound waves to widen narrowed or blocked blood vessels outside the heart (non-coronary vessels). This technique involves using a specialized ultrasound probe to create high-frequency sound waves that target and break down plaque buildup within the vessel walls, restoring blood flow. 


"
4,Z00.01,X,"Ultraschall Embolektomie (38.01, 38.02)",non,,0,,4,,Ultraschall Embolektomie ,"Ultrasound Embolism Removal|A minimally invasive procedure that uses ultrasound waves to break up blood clots (emboli) in a blood vessel.  The ultrasound energy creates cavitation bubbles that implode against the clot, fragmenting it into smaller pieces that can be flushed away by the bloodstream. This technique is often used to treat deep vein thrombosis (DVT) and pulmonary embolism (PE). 


"
4,Z00.01,X,"Ultraschall Endarteriektomie (38.11, 38.12)",non,,0,,4,,Ultraschall Endarteriektomie ,"Ultrasound-Guided Endarterectomy|A surgical procedure where an artery is surgically removed to treat a blockage or narrowing (stenosis). The ""ultrasound-guided"" aspect means that ultrasound imaging is used during the surgery to visualize the artery and guide the surgeon's instruments.  This helps ensure precision and minimize damage to surrounding tissues. 


"
4,Z00.01,X,"Ultraschall Thrombektomie (38.01, 38.02)",non,,0,,4,,Ultraschall Thrombektomie ,"Ultrasound Thrombectomy|A minimally invasive procedure that uses ultrasound waves to break up blood clots (thrombi) in a blood vessel.  It is often used to treat strokes caused by blocked arteries in the brain. 


"
4,Z00.02,T,Therapeutischer Ultraschall des Herzen,oui,,0,,4,,Therapeutischer Ultraschall des Herzen,"Therapeutic Ultrasound of the Heart|The use of ultrasound waves to treat heart conditions.  This involves applying focused high-frequency sound waves to specific areas of the heart muscle to achieve therapeutic effects such as tissue ablation or stimulation. 


"
4,Z00.02,B,Anti-Restenose Ultraschall,non,,0,,4,,Anti-Restenose Ultraschall,"Antistent Ultrasound|Ultrasound used to evaluate the placement and function of a stent (a small tube inserted into a blood vessel to keep it open).  


"
4,Z00.02,B,"Intravaskulärer, nicht verödender (nicht abladierender) Ultraschall",non,,0,,4,,"Intravaskulärer, nicht verödender  Ultraschall","Intravascular, Non-Occlusive Ultrasound|A type of ultrasound imaging that uses a probe inserted into a blood vessel to visualize blood flow and the vessel walls. ""Intravascular"" refers to being within a blood vessel, while ""non-occlusive"" means that the probe does not block blood flow. This technique allows for real-time visualization of blood vessels and can be used to diagnose various conditions, such as atherosclerosis, aneurysms, and vascular malformations. 


"
4,Z00.02,X,Diagnostischer Ultraschall des Herzens (88.72),non,,0,,4,,Diagnostischer Ultraschall des Herzens ,"Diagnostic Ultrasound of the Heart|  A non-invasive medical procedure that uses high-frequency sound waves (ultrasound) to create images of the heart's structure and function. It is also known as echocardiography and is used to diagnose a variety of heart conditions, such as valve problems, congenital heart defects, and cardiomyopathy. 


"
4,Z00.02,X,Entfernung von Läsion oder Gewebe des Herzens mit Katheter (37.34),non,,0,,4,,Entfernung von Läsion oder Gewebe des Herzens mit Katheter ,"Cardiac Lesion or Tissue Removal via Catheter|A minimally invasive procedure where a catheter is guided through blood vessels to the heart to remove diseased tissue or lesions. This technique allows for precise targeting and removal of abnormal growths or areas of damage within the heart chambers or valves.  


"
4,Z00.02,X,"Ultraschall Angioplastie an Herzkranzgefässen (00.66, 36.09)",non,,0,,4,,Ultraschall Angioplastie an Herzkranzgefässen ,"Transesophageal Echocardiography-Guided Coronary Angioplasty|A minimally invasive procedure to widen narrowed or blocked coronary arteries using a balloon catheter guided by real-time ultrasound imaging performed through the esophagus.  This technique allows for precise visualization of the heart's chambers and blood vessels, enhancing the accuracy and safety of the angioplasty procedure. 


"
4,Z00.03,T,Therapeutischer Ultraschall von peripheren Blutgefässen,oui,,0,,4,,Therapeutischer Ultraschall von peripheren Blutgefässen,"Therapeutic Ultrasound of Peripheral Blood Vessels|The use of ultrasound waves to treat conditions affecting blood vessels outside of the heart and brain. This therapy can help improve blood flow, reduce inflammation, and promote healing in peripheral arteries and veins. 


"
4,Z00.03,B,Anti-Restenose Ultraschall,non,,0,,4,,Anti-Restenose Ultraschall,"Antistent Ultrasound|Ultrasound used to evaluate the placement and function of a stent (a small tube inserted into a blood vessel to keep it open).  


"
4,Z00.03,B,"Intravaskulärer, nicht verödender (nicht abladierender) Ultraschall",non,,0,,4,,"Intravaskulärer, nicht verödender  Ultraschall","Intravascular, Non-Occlusive Ultrasound|A type of ultrasound imaging that uses a probe inserted into a blood vessel to visualize blood flow and the vessel walls. ""Intravascular"" refers to being within a blood vessel, while ""non-occlusive"" means that the probe does not block blood flow. This technique allows for real-time visualization of blood vessels and can be used to diagnose various conditions, such as atherosclerosis, aneurysms, and vascular malformations. 


"
4,Z00.03,X,Diagnostischer Ultraschall des peripheren vaskulären Systems (88.77),non,,0,,4,,Diagnostischer Ultraschall des peripheren vaskulären Systems ,"Diagnostic Ultrasound of the Peripheral Vascular System |  Ultrasound imaging used to examine blood vessels outside of the heart and brain. This can include arteries and veins in the arms, legs, neck, and abdomen. It helps visualize blood flow, identify blockages or narrowing (stenosis), and assess the health of these vessels. 


"
4,Z00.03,X,Ultraschall Angioplastie an Nicht-Herzkranzgefäss (39.50),non,,0,,4,,Ultraschall Angioplastie an Nicht-Herzkranzgefäss ,"Ultrasound Angioplasty of Non-Coronary Vessels| A minimally invasive procedure that uses ultrasound waves to widen narrowed or blocked blood vessels outside the heart (non-coronary vessels). This technique involves using a specialized ultrasound probe to create high-frequency sound waves that target and break down plaque buildup within the vessel walls, restoring blood flow. 


"
4,Z00.09,T,"Therapeutischer Ultraschall, sonstige",oui,,0,,4,,"Therapeutischer Ultraschall, sonstige","Therapeutic Ultrasound, Other| Therapeutic ultrasound refers to the application of high-frequency sound waves to treat various medical conditions.  ""Other"" in this context likely indicates that the therapeutic ultrasound is being used for a purpose beyond common applications like pain management or tissue healing. 


"
4,Z00.09,X,Desintegration von Harnsteinen mit Ultraschall (59.95),non,,0,,4,,Desintegration von Harnsteinen mit Ultraschall ,"Lithotripsy with Ultrasound|A minimally invasive procedure that uses high-energy sound waves to break down kidney stones into smaller fragments that can be passed through urine.  It is an alternative to surgical removal of kidney stones and often involves the patient lying on a table while a transducer emits focused ultrasound waves at the stone location. 


"
4,Z00.09,X,Perkutane Nephrostomie mit Desintegration von Steinmaterial durch Ultraschall (55.04),non,,0,,4,,Perkutane Nephrostomie mit Desintegration von Steinmaterial durch Ultraschall ,"Percutaneous Nephrotomy with Ultrasound Lithotripsy | A minimally invasive procedure where a needle is inserted through the skin into the kidney to drain urine and break up kidney stones using ultrasound waves.  


"
4,Z00.09,X,Transurethrale (Ultraschall-) geführte laserinduzierte Prostatektomie [TULIP] (60.21.11),non,,0,,4,,Transurethrale  geführte laserinduzierte Prostatektomie [TULIP] ,"Transurethral Laser-Induced Prostatectomy (TULIP)|A minimally invasive surgical procedure to remove part or all of the prostate gland using a laser fiber inserted through the urethra. TULIP is an alternative to traditional open prostatectomy and offers several advantages, including shorter recovery times, less blood loss, and reduced risk of complications. 


"
3,Z00.1,T,Pharmakon,non,,0,,3,,Pharmakon,"Drug|A substance used for the diagnosis, treatment, or prevention of disease. 


"
4,Z00.10,T,Implantation einer chemotherapeutischen Substanz,oui,,0,,4,,Implantation einer chemotherapeutischen Substanz,"Implantation of a Chemotherapeutic Agent|The surgical procedure of placing a device containing chemotherapy medication into the body. This is often done to deliver medication directly to a tumor site, minimizing systemic side effects. 


"
4,Z00.10,B,Interstitiell/ intrakavitär,non,,0,,4,,Interstitiell/ intrakavitär,"Interstitial/Intracavitary |  **Interstitial:** Relating to or situated between the cells or tissues of a body. **Intracavitary:** Located within a cavity of the body. 


"
4,Z00.10,X,Verabreichung von Zytostatikum (99.25.-),non,,0,,4,,Verabreichung von Zytostatikum ,"Administration of Cytotoxic Drug|The process of giving a medication that kills or inhibits the growth of cells, often used in cancer treatment.  Cytotoxic drugs work by interfering with the DNA replication and cell division processes, ultimately leading to the death of rapidly dividing cancer cells. 


"
