code,label
1,diagnostische massnahmen
1-10...1-10,diagnostische massnahmen: Klinische Untersuchung
1-10,diagnostische massnahmen: Klinische Untersuchung: Klinische Untersuchung
1-100,diagnostische massnahmen: Klinische Untersuchung: Klinische Untersuchung: Klinische Untersuchung in Allgemeinanästhesie
1-20...1-33,diagnostische massnahmen: Untersuchung einzelner Körpersysteme
1-20,diagnostische massnahmen: Untersuchung einzelner Körpersysteme: Neurologische Untersuchungen
1-202,diagnostische massnahmen: Untersuchung einzelner Körpersysteme: Neurologische Untersuchungen: Diagnostik zur Feststellung des irreversiblen Hirnfunktionsausfalls
1-202.0,diagnostische massnahmen: Untersuchung einzelner Körpersysteme: Neurologische Untersuchungen: Diagnostik zur Feststellung des irreversiblen Hirnfunktionsausfalls: Bei einem potenziellen Organspender
1-202.00,diagnostische massnahmen: Untersuchung einzelner Körpersysteme: Neurologische Untersuchungen: Diagnostik zur Feststellung des irreversiblen Hirnfunktionsausfalls: Bei einem potenziellen Organspender: Ohne Feststellung des irreversiblen Hirnfunktionsausfalls
1-202.01,diagnostische massnahmen: Untersuchung einzelner Körpersysteme: Neurologische Untersuchungen: Diagnostik zur Feststellung des irreversiblen Hirnfunktionsausfalls: Bei einem potenziellen Organspender: Mit Feststellung des irreversiblen Hirnfunktionsausfalls
1-202.1,diagnostische massnahmen: Untersuchung einzelner Körpersysteme: Neurologische Untersuchungen: Diagnostik zur Feststellung des irreversiblen Hirnfunktionsausfalls: Bei sonstigen Patienten
1-203,diagnostische massnahmen: Untersuchung einzelner Körpersysteme: Neurologische Untersuchungen: Invasive Funktionsdiagnostik des Nervensystems
1-203.0,"diagnostische massnahmen: Untersuchung einzelner Körpersysteme: Neurologische Untersuchungen: Invasive Funktionsdiagnostik des Nervensystems: Mit Stimulationselektroden, zerebral"
1-203.1,"diagnostische massnahmen: Untersuchung einzelner Körpersysteme: Neurologische Untersuchungen: Invasive Funktionsdiagnostik des Nervensystems: Mit Stimulationselektroden, spinal"
1-203.2,diagnostische massnahmen: Untersuchung einzelner Körpersysteme: Neurologische Untersuchungen: Invasive Funktionsdiagnostik des Nervensystems: Mit pharmakologischer Testung
1-203.x,diagnostische massnahmen: Untersuchung einzelner Körpersysteme: Neurologische Untersuchungen: Invasive Funktionsdiagnostik des Nervensystems: Sonstige
1-203.y,diagnostische massnahmen: Untersuchung einzelner Körpersysteme: Neurologische Untersuchungen: Invasive Funktionsdiagnostik des Nervensystems: Nicht näher bezeichnet
1-204,diagnostische massnahmen: Untersuchung einzelner Körpersysteme: Neurologische Untersuchungen: Untersuchung des Liquorsystems
1-204.0,diagnostische massnahmen: Untersuchung einzelner Körpersysteme: Neurologische Untersuchungen: Untersuchung des Liquorsystems: Messung des Hirndruckes
1-204.1,diagnostische massnahmen: Untersuchung einzelner Körpersysteme: Neurologische Untersuchungen: Untersuchung des Liquorsystems: Messung des lumbalen Liquordruckes
1-204.2,diagnostische massnahmen: Untersuchung einzelner Körpersysteme: Neurologische Untersuchungen: Untersuchung des Liquorsystems: Lumbale Liquorpunktion zur Liquorentnahme
1-204.3,diagnostische massnahmen: Untersuchung einzelner Körpersysteme: Neurologische Untersuchungen: Untersuchung des Liquorsystems: Subokzipitale Liquorpunktion zur Liquorentnahme
1-204.4,diagnostische massnahmen: Untersuchung einzelner Körpersysteme: Neurologische Untersuchungen: Untersuchung des Liquorsystems: Fontanellenpunktion zur Liquorentnahme
1-204.5,diagnostische massnahmen: Untersuchung einzelner Körpersysteme: Neurologische Untersuchungen: Untersuchung des Liquorsystems: Liquorentnahme aus einem liegenden Katheter
1-204.6,diagnostische massnahmen: Untersuchung einzelner Körpersysteme: Neurologische Untersuchungen: Untersuchung des Liquorsystems: Infusionstest
1-204.7,diagnostische massnahmen: Untersuchung einzelner Körpersysteme: Neurologische Untersuchungen: Untersuchung des Liquorsystems: Pharmakologischer Test
1-204.x,diagnostische massnahmen: Untersuchung einzelner Körpersysteme: Neurologische Untersuchungen: Untersuchung des Liquorsystems: Sonstige
1-204.y,diagnostische massnahmen: Untersuchung einzelner Körpersysteme: Neurologische Untersuchungen: Untersuchung des Liquorsystems: Nicht näher bezeichnet
1-205,diagnostische massnahmen: Untersuchung einzelner Körpersysteme: Neurologische Untersuchungen: Elektromyographie [Elektromyographie]
1-206,diagnostische massnahmen: Untersuchung einzelner Körpersysteme: Neurologische Untersuchungen: Neurographie
1-207,diagnostische massnahmen: Untersuchung einzelner Körpersysteme: Neurologische Untersuchungen: Elektroenzephalographie [Elektroenzephalographie]
1-207.0,diagnostische massnahmen: Untersuchung einzelner Körpersysteme: Neurologische Untersuchungen: Elektroenzephalographie [Elektroenzephalographie]: Routine-Elektroenzephalographie (10-20-System)
1-207.1,diagnostische massnahmen: Untersuchung einzelner Körpersysteme: Neurologische Untersuchungen: Elektroenzephalographie [Elektroenzephalographie]: Schlaf-Elektroenzephalographie (10-20-System)
1-207.2,diagnostische massnahmen: Untersuchung einzelner Körpersysteme: Neurologische Untersuchungen: Elektroenzephalographie [Elektroenzephalographie]: Video-Elektroenzephalographie (10-20-System)
1-207.3,diagnostische massnahmen: Untersuchung einzelner Körpersysteme: Neurologische Untersuchungen: Elektroenzephalographie [Elektroenzephalographie]: Mobiles Kassetten-Elektroenzephalographie (10-20-System)
1-207.x,diagnostische massnahmen: Untersuchung einzelner Körpersysteme: Neurologische Untersuchungen: Elektroenzephalographie [Elektroenzephalographie]: Sonstige
1-207.y,diagnostische massnahmen: Untersuchung einzelner Körpersysteme: Neurologische Untersuchungen: Elektroenzephalographie [Elektroenzephalographie]: Nicht näher bezeichnet
1-208,diagnostische massnahmen: Untersuchung einzelner Körpersysteme: Neurologische Untersuchungen: Registrierung evozierter Potenziale
1-208.0,diagnostische massnahmen: Untersuchung einzelner Körpersysteme: Neurologische Untersuchungen: Registrierung evozierter Potenziale: Akustisch [Akustisch evozierte Potenziale]
1-208.1,diagnostische massnahmen: Untersuchung einzelner Körpersysteme: Neurologische Untersuchungen: Registrierung evozierter Potenziale: Früh-akustisch [Früh-akustisch evozierte Potenziale/Brainstem electric response audiometry]
1-208.2,diagnostische massnahmen: Untersuchung einzelner Körpersysteme: Neurologische Untersuchungen: Registrierung evozierter Potenziale: Somatosensorisch [Somatosensorisch evozierte Potenziale]
1-208.3,diagnostische massnahmen: Untersuchung einzelner Körpersysteme: Neurologische Untersuchungen: Registrierung evozierter Potenziale: Früh-somatosensorisch [Früh-somatosensorisch evozierte Potenziale]
1-208.4,diagnostische massnahmen: Untersuchung einzelner Körpersysteme: Neurologische Untersuchungen: Registrierung evozierter Potenziale: Motorisch [Motorisch evozierte Potenziale]
1-208.5,diagnostische massnahmen: Untersuchung einzelner Körpersysteme: Neurologische Untersuchungen: Registrierung evozierter Potenziale: Spät-akustisch [Cortical evoked response audiometry (Spät-akustisch evozierte Potenziale)]
1-208.6,diagnostische massnahmen: Untersuchung einzelner Körpersysteme: Neurologische Untersuchungen: Registrierung evozierter Potenziale: Visuell [Visuell evozierte Potenziale]
1-208.7,diagnostische massnahmen: Untersuchung einzelner Körpersysteme: Neurologische Untersuchungen: Registrierung evozierter Potenziale: Kognitiv [Kognitiv evozierte Potenziale]
1-208.8,diagnostische massnahmen: Untersuchung einzelner Körpersysteme: Neurologische Untersuchungen: Registrierung evozierter Potenziale: Otoakustische Emissionen [Otoakustische Emissionen]
1-208.9,diagnostische massnahmen: Untersuchung einzelner Körpersysteme: Neurologische Untersuchungen: Registrierung evozierter Potenziale: Vestibulär myogen [Vestibulär evozierte myogene Potenziale]
1-208.x,diagnostische massnahmen: Untersuchung einzelner Körpersysteme: Neurologische Untersuchungen: Registrierung evozierter Potenziale: Sonstige
1-208.y,diagnostische massnahmen: Untersuchung einzelner Körpersysteme: Neurologische Untersuchungen: Registrierung evozierter Potenziale: Nicht näher bezeichnet
1-209,diagnostische massnahmen: Untersuchung einzelner Körpersysteme: Neurologische Untersuchungen: Komplexe Diagnostik bei Spina bifida
1-20a,diagnostische massnahmen: Untersuchung einzelner Körpersysteme: Neurologische Untersuchungen: Andere neurophysiologische Untersuchungen
1-20a.2,diagnostische massnahmen: Untersuchung einzelner Körpersysteme: Neurologische Untersuchungen: Andere neurophysiologische Untersuchungen: Neurologische Untersuchung bei Bewegungsstörungen
1-20a.20,diagnostische massnahmen: Untersuchung einzelner Körpersysteme: Neurologische Untersuchungen: Andere neurophysiologische Untersuchungen: Neurologische Untersuchung bei Bewegungsstörungen: Untersuchung der Pharmakosensitivität mit quantitativer Testung
1-20a.21,diagnostische massnahmen: Untersuchung einzelner Körpersysteme: Neurologische Untersuchungen: Andere neurophysiologische Untersuchungen: Neurologische Untersuchung bei Bewegungsstörungen: Untersuchung der operativen Behandelbarkeit von Bewegungsstörungen
1-20a.3,diagnostische massnahmen: Untersuchung einzelner Körpersysteme: Neurologische Untersuchungen: Andere neurophysiologische Untersuchungen: Neurophysiologische Diagnostik bei Schwindelsyndromen
1-20a.30,diagnostische massnahmen: Untersuchung einzelner Körpersysteme: Neurologische Untersuchungen: Andere neurophysiologische Untersuchungen: Neurophysiologische Diagnostik bei Schwindelsyndromen: Elektro- und/oder Video-Nystagmographie
1-20a.31,diagnostische massnahmen: Untersuchung einzelner Körpersysteme: Neurologische Untersuchungen: Andere neurophysiologische Untersuchungen: Neurophysiologische Diagnostik bei Schwindelsyndromen: Video-Kopfimpulstest
1-20a.32,diagnostische massnahmen: Untersuchung einzelner Körpersysteme: Neurologische Untersuchungen: Andere neurophysiologische Untersuchungen: Neurophysiologische Diagnostik bei Schwindelsyndromen: Bestimmung der subjektiven visuellen Vertikalen
1-20a.33,diagnostische massnahmen: Untersuchung einzelner Körpersysteme: Neurologische Untersuchungen: Andere neurophysiologische Untersuchungen: Neurophysiologische Diagnostik bei Schwindelsyndromen: Posturographie
1-20b,diagnostische massnahmen: Untersuchung einzelner Körpersysteme: Neurologische Untersuchungen: Magnetenzephalographie [Magnetenzephalographie]
1-20b.0,diagnostische massnahmen: Untersuchung einzelner Körpersysteme: Neurologische Untersuchungen: Magnetenzephalographie [Magnetenzephalographie]: Zur Lokalisation epileptischer Foci
1-20b.1,diagnostische massnahmen: Untersuchung einzelner Körpersysteme: Neurologische Untersuchungen: Magnetenzephalographie [Magnetenzephalographie]: Zur Lokalisation funktioneller Hirnareale
1-20b.x,diagnostische massnahmen: Untersuchung einzelner Körpersysteme: Neurologische Untersuchungen: Magnetenzephalographie [Magnetenzephalographie]: Sonstige
1-20b.y,diagnostische massnahmen: Untersuchung einzelner Körpersysteme: Neurologische Untersuchungen: Magnetenzephalographie [Magnetenzephalographie]: Nicht näher bezeichnet
1-20c,diagnostische massnahmen: Untersuchung einzelner Körpersysteme: Neurologische Untersuchungen: Navigierte transkranielle Magnetstimulation [nTMS]
1-20c.0,diagnostische massnahmen: Untersuchung einzelner Körpersysteme: Neurologische Untersuchungen: Navigierte transkranielle Magnetstimulation [nTMS]: Zur Identifizierung von Hirnarealen für die Motorik (Motormapping)
1-20c.1,diagnostische massnahmen: Untersuchung einzelner Körpersysteme: Neurologische Untersuchungen: Navigierte transkranielle Magnetstimulation [nTMS]: Zur Identifizierung von Hirnarealen für die Sprache (Speechmapping)
1-20c.x,diagnostische massnahmen: Untersuchung einzelner Körpersysteme: Neurologische Untersuchungen: Navigierte transkranielle Magnetstimulation [nTMS]: Sonstige
1-20c.y,diagnostische massnahmen: Untersuchung einzelner Körpersysteme: Neurologische Untersuchungen: Navigierte transkranielle Magnetstimulation [nTMS]: Nicht näher bezeichnet
1-20d,diagnostische massnahmen: Untersuchung einzelner Körpersysteme: Neurologische Untersuchungen: Hochauflösende Elektroenzephalographie [Hochauflösende Elektroenzephalographie]
1-20d.0,diagnostische massnahmen: Untersuchung einzelner Körpersysteme: Neurologische Untersuchungen: Hochauflösende Elektroenzephalographie [Hochauflösende Elektroenzephalographie]: Zur Lokalisation epileptischer Foci
1-20d.1,diagnostische massnahmen: Untersuchung einzelner Körpersysteme: Neurologische Untersuchungen: Hochauflösende Elektroenzephalographie [Hochauflösende Elektroenzephalographie]: Zur Lokalisation funktioneller Hirnareale
1-20d.x,diagnostische massnahmen: Untersuchung einzelner Körpersysteme: Neurologische Untersuchungen: Hochauflösende Elektroenzephalographie [Hochauflösende Elektroenzephalographie]: Sonstige
1-20d.y,diagnostische massnahmen: Untersuchung einzelner Körpersysteme: Neurologische Untersuchungen: Hochauflösende Elektroenzephalographie [Hochauflösende Elektroenzephalographie]: Nicht näher bezeichnet
1-21,diagnostische massnahmen: Untersuchung einzelner Körpersysteme: Epilepsiediagnostik
1-210,diagnostische massnahmen: Untersuchung einzelner Körpersysteme: Epilepsiediagnostik: Nicht invasive Video-EEG-Intensivdiagnostik zur Evaluation einer Epilepsie oder eines Verdachts auf Epilepsie
1-211,diagnostische massnahmen: Untersuchung einzelner Körpersysteme: Epilepsiediagnostik: Invasive Video-EEG-Intensivdiagnostik bei Epilepsie zur Klärung einer epilepsiechirurgischen Operationsindikation
1-212,diagnostische massnahmen: Untersuchung einzelner Körpersysteme: Epilepsiediagnostik: Invasive intraoperative Epilepsiediagnostik
1-212.0,diagnostische massnahmen: Untersuchung einzelner Körpersysteme: Epilepsiediagnostik: Invasive intraoperative Epilepsiediagnostik: Elektrokortikographie
1-212.1,diagnostische massnahmen: Untersuchung einzelner Körpersysteme: Epilepsiediagnostik: Invasive intraoperative Epilepsiediagnostik: Elektrostimulation in Allgemeinanästhesie
1-212.2,diagnostische massnahmen: Untersuchung einzelner Körpersysteme: Epilepsiediagnostik: Invasive intraoperative Epilepsiediagnostik: Elektrostimulation im Wachzustand
1-212.3,diagnostische massnahmen: Untersuchung einzelner Körpersysteme: Epilepsiediagnostik: Invasive intraoperative Epilepsiediagnostik: Evozierte Potenziale
1-212.x,diagnostische massnahmen: Untersuchung einzelner Körpersysteme: Epilepsiediagnostik: Invasive intraoperative Epilepsiediagnostik: Sonstige
1-212.y,diagnostische massnahmen: Untersuchung einzelner Körpersysteme: Epilepsiediagnostik: Invasive intraoperative Epilepsiediagnostik: Nicht näher bezeichnet
1-213,diagnostische massnahmen: Untersuchung einzelner Körpersysteme: Epilepsiediagnostik: Syndromdiagnose bei komplizierten Epilepsien
1-22,diagnostische massnahmen: Untersuchung einzelner Körpersysteme: Untersuchungen der Augen
1-220,diagnostische massnahmen: Untersuchung einzelner Körpersysteme: Untersuchungen der Augen: Messung des Augeninnendruckes
1-220.0,diagnostische massnahmen: Untersuchung einzelner Körpersysteme: Untersuchungen der Augen: Messung des Augeninnendruckes: Tages- und Nachtdruckmessung über 24 Stunden
1-221,diagnostische massnahmen: Untersuchung einzelner Körpersysteme: Untersuchungen der Augen: Teilstationäre Augenuntersuchung bei Kindern und Jugendlichen mit der Notwendigkeit der Bewegungslosigkeit
1-24,diagnostische massnahmen: Untersuchung einzelner Körpersysteme: Untersuchungen im Hals Nasen Ohren-Bereich
1-242,diagnostische massnahmen: Untersuchung einzelner Körpersysteme: Untersuchungen im Hals Nasen Ohren-Bereich: Audiometrie
1-243,diagnostische massnahmen: Untersuchung einzelner Körpersysteme: Untersuchungen im Hals Nasen Ohren-Bereich: Phoniatrie
1-245,diagnostische massnahmen: Untersuchung einzelner Körpersysteme: Untersuchungen im Hals Nasen Ohren-Bereich: Rhinomanometrie
1-247,diagnostische massnahmen: Untersuchung einzelner Körpersysteme: Untersuchungen im Hals Nasen Ohren-Bereich: Olfaktometrie und Gustometrie
1-26,diagnostische massnahmen: Untersuchung einzelner Körpersysteme: Untersuchungen der elektrophysiologischen Aktivität des Herzens
1-265,"diagnostische massnahmen: Untersuchung einzelner Körpersysteme: Untersuchungen der elektrophysiologischen Aktivität des Herzens: Elektrophysiologische Untersuchung des Herzens, kathetergestützt"
1-265.0,"diagnostische massnahmen: Untersuchung einzelner Körpersysteme: Untersuchungen der elektrophysiologischen Aktivität des Herzens: Elektrophysiologische Untersuchung des Herzens, kathetergestützt: Bei Störungen der Sinusknotenfunktion"
