A_df,B_df,similarity
0,87,0.8644756484692617
0,57,0.742353089021488
0,59,0.722445272605001
1,87,0.7724106973204843
1,3,0.6979278666210076
1,19,0.6738537957179633
2,87,0.7672210885528847
2,3,0.6868913164727757
2,19,0.6664312545116995
3,87,0.6588931781810725
3,57,0.6395388501653606
3,0,0.5836962705160512
4,87,0.7429795918537642
4,3,0.6915998512705817
4,59,0.6699702162635054
5,87,0.6409408201089457
5,62,0.6255765536345306
5,76,0.6132891282074022
6,87,0.6687545970123059
6,59,0.6288498125884827
6,62,0.6122695483233307
7,87,0.6034616971742133
7,48,0.5851236838988374
7,59,0.5772866703150528
8,87,0.6084713901225193
8,48,0.5810613904401537
8,59,0.5808207493530985
